"IdCandidatoWeb","Candidato","Partido","Info","WebOficial","VideoUrl","FuenteDataset"
"rla","Rafael López Aliaga","Renovación Popular","Empresario hotelero y ferroviario; ingeniero industrial; posturas conservadoras (Opus Dei).","https://www.renovacionpopular.pe/","https://www.youtube.com/embed/VLgSzlgTPn4","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","Lideresa de Fuerza Popular; tres veces finalista presidencial; hija de Alberto Fujimori.","https://www.fuerzapopular.pe/","https://www.youtube.com/embed/pk0K3biyArA","https://candidatosperu2026.neocities.org/"
"ca","César Acuña","Alianza para el Progreso","Ingeniero químico y empresario educativo (UCV).","https://app.pe/","https://www.youtube.com/embed/KJqbR-XDWHY","https://candidatosperu2026.neocities.org/"
"gf","George Forsyth","Somos Perú","Exfutbolista y empresario; exalcalde de La Victoria.","https://somosperu.org.pe/","https://www.youtube.com/embed/vrEhkJg8iKo","https://candidatosperu2026.neocities.org/"
"yl","Yonhy Lescano","Cooperación Popular","Abogado y político; ex Acción Popular.","","https://www.youtube.com/embed/rp_EtZgYLFs","https://candidatosperu2026.neocities.org/"
"alc","Alfonso López Chau","Ahora Nación","Economista y académico; exrector de la UNI; exdirector del BCRP.","","https://www.youtube.com/embed/CjTcnJo0RYc","https://candidatosperu2026.neocities.org/"
"mv","Mario Vizcarra","Perú Primero","Ingeniero industrial; hermano de Martín Vizcarra.","","https://www.youtube.com/embed/FoRdGV0zN-E","https://candidatosperu2026.neocities.org/"
"apb","Álvaro Paz de la Barra","Fe en el Perú","Abogado; exalcalde de La Molina; fundador de Fe en el Perú.","https://www.feenelperu.pe/; https://www.facebook.com/FeenelPeruOficial/","https://www.youtube.com/embed/VA5WztJAfFY","https://candidatosperu2026.neocities.org/"
"ca2","Carlos Álvarez","País para Todos","Comediante e imitador; outsider político.","","https://www.youtube.com/embed/sCf03Qsocs8","https://candidatosperu2026.neocities.org/"
"rb2","Ricardo Belmont","Partido Cívico OBRAS","Empresario radial y político; exalcalde de Lima.","","https://www.youtube.com/embed/zuRqW6xBjcU","https://candidatosperu2026.neocities.org/"
"jn","Jorge Nieto","Partido del Buen Gobierno","Sociólogo y exministro (Defensa y Cultura).","https://www.partidodelbuengobierno.pe/","https://www.youtube.com/embed/qO4-iEr3oRY","https://candidatosperu2026.neocities.org/"
"ag","Álex Gonzales","Partido Demócrata Verde","Administrador y activista ambiental; candidato recurrente en Lima.","","https://www.youtube.com/embed/-djuSD3Rm2s","https://candidatosperu2026.neocities.org/"
"fo","Fernando Olivera","Frente de la Esperanza","Abogado y político; figura en los vladivideos; fundador del FIM.","https://www.facebook.com/PartidoFrentedelaEsperanza2021/","https://www.youtube.com/embed/-4j7x8i20FI","https://candidatosperu2026.neocities.org/"
"mg","Mariano González","Salvemos al Perú","Abogado; breve paso por Interior; “Ministro del Amor” (2016).","","https://www.youtube.com/embed/djC6AuxDv2M","https://candidatosperu2026.neocities.org/"
"af","Arturo Fernández","Un Camino Diferente","Ginecólogo y exalcalde de Trujillo; estilo confrontacional.","","https://www.youtube.com/embed/jtrF4v4t7Wc","https://candidatosperu2026.neocities.org/"
"fm","Fiorella Molinelli","Alianza Fuerza y Libertad","Economista; expresidenta de EsSalud; exministra.","","https://www.youtube.com/embed/UHtWp-qhSys","https://candidatosperu2026.neocities.org/"
"rs","Roberto Sánchez","Juntos por el Perú","Psicólogo; exministro de Comercio Exterior y Turismo; congresista.","","https://www.youtube.com/embed/jrzJLOMspDs","https://candidatosperu2026.neocities.org/"
"apra","Jorge del Castillo","Partido Aprista Peruano","Dirigente histórico del PAP; expresidente del Consejo de Ministros (2006–2008) y excongresista.","https://apraperu.com/","https://www.youtube.com/embed/gL4iGIa2_-s","https://candidatosperu2026.neocities.org/"
"avanza","Phillip Butters","Avanza País","Conductor y empresario mediático; precandidato presidencial 2026 por Avanza País.","https://www.avanzapais.org/","https://www.youtube.com/embed/N1SeAc4wooc","https://candidatosperu2026.neocities.org/"
"morado","Mesías Guevara","Partido Morado","Excongresista y exgobernador de Cajamarca; integrante del comité político del Partido Morado.","https://partidomorado.pe/; https://mesias.pe/","https://www.youtube.com/embed/nor37V54wlQ","https://candidatosperu2026.neocities.org/"
"perulibre","Waldemar Cerrón","Perú Libre","Congresista (2021–2026); segundo vicepresidente del Congreso (2022–2026); secretario de Ideología de Perú Libre.","https://waldemarcerron.com/; https://www.congreso.gob.pe/congresistas2021/WaldemarCerron/; https://perulibre.pe/","https://www.youtube.com/embed/ZeBH7LdwELs","https://candidatosperu2026.neocities.org/"
"venceremos","Ronald Atencio","Alianza Venceremos","Abogado; exdefensor de Pedro Castillo y de Guillermo Bermejo. Precandidato presidencial 2026 por la alianza Venceremos.","https://portal.jne.gob.pe/portal/Pagina/Nota/18655; https://nuevoperu.pe/; https://vocesdelpueblo.pe/","https://www.youtube.com/embed/Ru85jygLSHc","https://candidatosperu2026.neocities.org/"
"fte","Napoleón Becerra García","Frente de los Trabajadores y Emprendedores (PTE)","Presidente y fundador del PTE; solicitó participar en EG-2026.","https://pte.pe/; https://pte.pe/documentos/; https://www.napotv.com/","https://www.youtube.com/embed/FGmJRjnbkCA","https://candidatosperu2026.neocities.org/"
"rb","Rafael Belaúnde","Libertad Popular","Empresario y consultor político.","","https://www.youtube.com/embed/uXHD74xdHAU","https://candidatosperu2026.neocities.org/"
"sicreo","Carlos Espá","Sí Creo","Abogado y periodista; presidente del partido Sí Creo; precandidato 2026.","https://sicreo.org.pe/; https://sicreo.org.pe/nuestros-10-mandamientos/","https://www.youtube.com/embed/FuOD9cHEUgo","https://candidatosperu2026.neocities.org/"
"accionpopula","Alfredo Barnechea","Acción Popular","Escritor y ex candidato presidencial; precandidato 2026 de Acción Popular.","","https://www.youtube.com/embed/uFysh1WWwP8","https://candidatosperu2026.neocities.org/"
"plg","Marisol Pérez Tello","Primero la Gente","Excongresista y exministra de Justicia (2016–2017). Anunció precandidatura 2026 por Primero la Gente; en julio 2025 retiró su precandidatura y expresó apoyo a Alfonso López Chau.","https://primerolagente.pe/","https://www.youtube.com/embed/x4Tk69E9TJY","https://candidatosperu2026.neocities.org/"
"ppp-hc","Herbert Caller","Partido Patriótico del Perú","Fundador y presidente del PPP; exoficial de la Marina de Guerra del Perú.","https://partidopatrioticodelperu.pe/; https://partidopatrioticodelperu.pe/presidente/; https://partidopatrioticodelperu.pe/ideario/","https://www.youtube.com/embed/emKfkybrbD8","https://candidatosperu2026.neocities.org/"
"id-wg","Wolfgang Grozo","Integridad Democrática","Mayor General FAP (r); líder y fundador de Integridad Democrática; docente universitario.","","https://www.youtube.com/embed/xp8b_AvgruY","https://candidatosperu2026.neocities.org/"
"pdup-cc","Charlie Carrasco Salazar","Partido Demócrata Unido Perú (PDUP)","Abogado y docente; presidente del PDUP; se presenta como “Charlie Presidente 2026”.","https://sroppublico.jne.gob.pe/Consulta/PadronAfiliado; https://www.youtube.com/@partidodemocrataunidoperu; https://www.facebook.com/CharlieCarrascoOficial","https://www.youtube.com/embed/ZsFw2q56ELw","https://candidatosperu2026.neocities.org/"
