"Partido","Anexo","Concepto","Tipo","Monto","FechaPresentacion","ProcesoElectoral","Fuente","Observacion"
"Alianza para el Progreso","5A","Saldo inicial de campaña electoral","Ingreso","0.00","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Alianza para el Progreso","5B","Aportaciones individuales en efectivo y en especie","Ingreso","7196365.60","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Alianza para el Progreso","5C","Ingreso por actividades de financiamiento proselitista","Ingreso","0.00","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Alianza para el Progreso","5D","Otros ingresos de campaña electoral","Ingreso","0.00","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Alianza para el Progreso","6A","Gastos de propaganda electoral efectuados en medios de comunicación","Gasto","4126901.12","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Alianza para el Progreso","6B","Otros gastos de propaganda electoral","Gasto","2281965.18","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Alianza para el Progreso","6C","Otros gastos de campaña electoral distintos a la propaganda electoral","Gasto","826299.30","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Ahora Nación","5A","Saldo inicial de campaña electoral","Ingreso","0.00","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Ahora Nación","5B","Aportaciones individuales en efectivo y en especie","Ingreso","574320.80","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Ahora Nación","5C","Ingreso por actividades de financiamiento proselitista","Ingreso","0.00","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Ahora Nación","5D","Otros ingresos de campaña electoral","Ingreso","0.00","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Ahora Nación","6A","Gastos de propaganda electoral efectuados en medios de comunicación","Gasto","94988.99","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Ahora Nación","6B","Otros gastos de propaganda electoral","Gasto","43352.00","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Ahora Nación","6C","Otros gastos de campaña electoral distintos a la propaganda electoral","Gasto","134096.75","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
"Alianza Electoral Venceremos","5A","Saldo inicial de campaña electoral","Ingreso","0.00","20/03/2026","","https://claridadportal.onpe.gob.pe/financiamiento-privado/informacion-financiera-campana-electoral","Registro cargado desde captura ONPE Claridad"
