"Orden","Partido","FuenteCatalogo"
"1","Acción Popular","Catálogo candidatos 2026"
"2","Ahora Nación","Catálogo candidatos 2026"
"3","Fuerza y Libertad","Catálogo ONPE Claridad"
"4","Alianza para el Progreso","Catálogo candidatos 2026"
"5","Unidad Nacional","Catálogo ONPE Claridad"
"6","Alianza Electoral Venceremos","Catálogo ONPE Claridad"
"7","Avanza Pais-Partido de Integracion Social","Catálogo ONPE Claridad"
"8","Partido Ciudadanos por el Perú","Catálogo ONPE Claridad"
"9","Partido Politico Cooperacion Popular","Catálogo ONPE Claridad"
"10","Fe en el Peru","Catálogo ONPE Claridad"
"11","Frente Popular Agricola Fia del Peru","Catálogo ONPE Claridad"
"12","Partido de los Trabajadores y Emprendedores PTE-Peru","Catálogo ONPE Claridad"
"13","Fuerza Popular","Catálogo candidatos 2026"
"14","Partido Politico Integridad Democratica","Catálogo ONPE Claridad"
"15","Juntos por el Peru","Catálogo ONPE Claridad"
"16","Libertad Popular","Catálogo candidatos 2026"
"17","Partido Pais Para Todos","Catálogo ONPE Claridad"
"18","Partido Aprista Peruano","Catálogo candidatos 2026"
"19","Partido Cívico OBRAS","Catálogo candidatos 2026"
"20","Partido del Buen Gobierno","Catálogo candidatos 2026"
"21","Partido Democrata Unido Peru","Catálogo ONPE Claridad"
"22","Partido Democrata Verde","Catálogo ONPE Claridad"
"23","Partido Democratico Federal","Catálogo ONPE Claridad"
"24","Partido Morado","Catálogo candidatos 2026"
"25","Partido Patriotico del Peru","Catálogo ONPE Claridad"
"26","Partido Politico Peru Accion","Catálogo ONPE Claridad"
"27","Partido Politico Nacional Peru Libre","Catálogo ONPE Claridad"
"28","Peru Moderno","Catálogo ONPE Claridad"
"29","Partido Politico Peru Primero","Catálogo ONPE Claridad"
"30","Podemos Peru","Catálogo ONPE Claridad"
"31","Primero la Gente - Comunidad, Ecologia, Libertad y Progreso","Catálogo ONPE Claridad"
"32","Partido Politico PRIN","Catálogo ONPE Claridad"
"33","Progresemos","Catálogo ONPE Claridad"
"34","Renovacion Popular","Catálogo ONPE Claridad"
"35","Salvemos al Peru","Catálogo ONPE Claridad"
"36","Partido Sicreo","Catálogo ONPE Claridad"
"37","Partido Democratico Somos Peru","Catálogo ONPE Claridad"
"38","Un Camino Diferente","Catálogo ONPE Claridad"
"39","Partido Frente de la Esperanza 2021","Catálogo ONPE Claridad"
