Candidato,Categoria,Item,Detalle,Electo,Fuente
Keiko Fujimori Higuchi,Educacion y titulos,Maestría - TÍTULO DE MÁSTER EN ADMINISTRACIÓN DE EMPRESAS (GRADO DE MAESTRO),COLUMBIA UNIVERSITY (2008),,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Educacion y titulos,Título - GRADO DE LICENCIADA EN ADMINISTRACIÓN DE EMPRESAS (GRADO DE BACHILLER Y TÍTULO PROFESIONAL),BOSTON UNIVERSITY (1997),,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Trayectoria politica,SEGUNDA VUELTA DE ELECCIÓN PRESIDENCIAL 2021,PRESIDENTE DE LA REPÚBLICA,,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Trayectoria politica,ELECCIONES GENERALES 2021,PRESIDENTE DE LA REPÚBLICA,,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Trayectoria politica,SEGUNDA VUELTA DE ELECCIÓN PRESIDENCIAL 2016,PRESIDENTE DE LA REPÚBLICA,,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Trayectoria politica,ELECCIONES GENERALES 2016,PRESIDENTE DE LA REPÚBLICA,,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Trayectoria politica,SEGUNDA VUELTA DE LA ELECCIÓN PRESIDENCIAL 2011,PRESIDENTE DE LA REPÚBLICA,,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Trayectoria politica,ELECCIONES GENERALES 2011,PRESIDENTE DE LA REPÚBLICA,,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Trayectoria politica,ELECCIONES GENERALES 2006,CONGRESISTA DE LA REPÚBLICA,Si,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Contratos con el Estado,Sin contratos.,,,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Propiedades declaradas,Mueble - REGISTRO DE PROPIEDAD VEHICULAR,,,https://revisatucandidato.pe/
Keiko Fujimori Higuchi,Experiencia laboral,Presidenta - Partido Político Fuerza Popular,,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Educacion y titulos,Título - PSICOLOGO,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS (2000),,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Educacion y titulos,Bachiller - BACHILLER EN PSICOLOGIA,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS (1999),,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Trayectoria politica,ELECCIONES GENERALES 2021,CONGRESISTA DE LA REPÚBLICA,Si,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Trayectoria politica,ELECCIONES CONGRESALES EXTRAORDINARIAS 2020,CONGRESISTA DE LA REPÚBLICA,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Trayectoria politica,ELECCIONES REGIONALES Y MUNICIPALES 2006,ALCALDE PROVINCIAL,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Trayectoria politica,ELECCIONES GENERALES 2006,CONGRESISTA DE LA REPÚBLICA,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Contratos con el Estado,6 contrato s,,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Contratos con el Estado,"Total: S/ 121,980",,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Propiedades declaradas,"Inmueble - Casa Hacienda Huando S/N - Huando , Huaral, Lima",,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Experiencia laboral,Congresista - Congreso de la República,,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Experiencia laboral,Ministro - Ministerio de Comercio Exterior y Turismo - MINCETUR,,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Experiencia laboral,Gerente de Desarrollo Social - Municipalidad Provincial de Huaral,,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Experiencia laboral,Gerente de la Capital Humano - Municipalidad Distrital de San Borja,,,https://revisatucandidato.pe/
Roberto Sanchez Palomino,Experiencia laboral,Gerente de Administración y Finanzas - Municipalidad Provincial de Huaura - Huacho,,,https://revisatucandidato.pe/
